camera_numero,bairro,locequip,latitude,longitude
180011111,BARRA DA TIJUCA,AVENIDA SERNAMBETIBA PROXIMO AO SEMAFORO Nº 7627 - SENTIDO PONTAL - FX 1,-23.0198440007,-43.4363410006
180011112,BARRA DA TIJUCA,AVENIDA SERNAMBETIBA PROXIMO AO SEMAFORO Nº 7627 - SENTIDO PONTAL - FX 2,-23.0198440007,-43.4363410006
180021111,BARRA DA TIJUCA,AVENIDA SERNAMBETIBA PROXIMO AO SEMAFORO Nº 7631 - SENTIDO PONTAL - FX 1,-23.0114055044,-43.3762757243
180021112,BARRA DA TIJUCA,AVENIDA SERNAMBETIBA PROXIMO AO SEMAFORO Nº 7631 - SENTIDO PONTAL - FX 2,-23.0114055044,-43.3762757243
180031111,BARRA DA TIJUCA,AVENIDA SERNAMBETIBA PROXIMO AO SEMAFORO Nº 7635 - SENTIDO PONTAL - FX 1,-23.0134110007,-43.3972690006
180031112,BARRA DA TIJUCA,AVENIDA SERNAMBETIBA PROXIMO AO SEMAFORO Nº 7635 - SENTIDO PONTAL - FX 2,-23.0134110007,-43.3972690006
180041121,JACAREPAGUA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 8100 - SENTIDO RECREIO - FX 1,-22.9711262627,-43.4138650977
180041122,JACAREPAGUA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 8100 - SENTIDO RECREIO - FX 2,-22.9711262627,-43.4138650977
180051111,SANTA CRUZ,RUA FELIPE CARDOSO PROXIMO AO Nº 786 - SENTIDO ESTACAO SANTA CRUZ - FX 1,-22.9217828247,-43.6797194709
180051112,SANTA CRUZ,RUA FELIPE CARDOSO PROXIMO AO Nº 786 - SENTIDO ESTACAO SANTA CRUZ - FX 2,-22.9217828247,-43.6797194709
180061111,SANTA CRUZ,AVENIDA AREIA BRANCA PROXIMO AO Nº 1628 - SENTIDO ESTACAO SANTA CRUZ - FX 1,-22.9401138105,-43.6853305077
180071121,SANTA CRUZ,AVENIDA AREIA BRANCA PROXIMO AO Nº 1628 - SENTIDO SEPETIBA - FX 1,-22.9401138105,-43.6853305077
180081111,SANTA CRUZ,AVENIDA AREIA BRANCA PROXIMO AO Nº 178 - SENTIDO ESTACAO SANTA CRUZ - FX 1,-22.9289384166,-43.6900477886
180091121,SANTA CRUZ,AVENIDA AREIA BRANCA PROXIMO AO Nº 178 - SENTIDO SEPETIBA - FX 1,-22.9289384166,-43.6900477886
180101111,MONERO,ESTRADA DO DENDE PROXIMO AO Nº 1056 - SENTIDO PORTUGUESA - FX 1,-22.7975460008,-43.1931090006
180101112,MONERO,ESTRADA DO DENDE PROXIMO AO Nº 1056 - SENTIDO PORTUGUESA - FX 2,-22.7975460008,-43.1931090006
180111121,JACAREPAGUA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 8100 - SENTIDO TANQUE - FX 1,-22.9712583116,-43.413880072
180111122,JACAREPAGUA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 8100 - SENTIDO TANQUE - FX 2,-22.9712583116,-43.413880072
180121111,GAVEA,RUA MARY PESSOA PROXIMO AO Nº 70 - SENTIDO LAGOA - FX 1,-22.9831867898,-43.2390680368
180121112,GAVEA,RUA MARY PESSOA PROXIMO AO Nº 70 - SENTIDO LAGOA - FX 2,-22.9831867898,-43.2390680368
180131111,RIO COMPRIDO,AVENIDA PAULO DE FRONTIN PROXIMO AO Nº 763 - SENTIDO CIDADE NOVA - FX 1,-22.9313920008,-43.2088590006
180131112,RIO COMPRIDO,AVENIDA PAULO DE FRONTIN PROXIMO AO Nº 763 - SENTIDO CIDADE NOVA - FX 2,-22.9313920008,-43.2088590006
180141111,CAMPO GRANDE,ESTRADA DO CABUCU PROXIMO AO Nº 1975 - SENTIDO AVENIDA CESARIO DE MELO - FX 1,-22.9148379069,-43.5412152376
180151121,CAMPO GRANDE,ESTRADA DO CABUCU PROXIMO AO Nº 1975 - SENTIDO ESTRADA DO VIEGAS - FX 1,-22.9148379069,-43.5412152376
180161111,VARGEM PEQUENA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 14789 - SENTIDO RECREIO - FX 1,-22.9839525017,-43.4618386189
180171121,VARGEM PEQUENA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 14789 - SENTIDO TANQUE - FX 1,-22.9839525017,-43.4618386189
180181111,CAMPO GRANDE,ESTRADA SANTA MARIA PROXIMO AO Nº 1380 - SENTIDO ESTRADA DO CAMPINHO - FX 1,-22.8844910007,-43.5797390006
180191121,CAMPO GRANDE,ESTRADA SANTA MARIA PROXIMO AO Nº 1380 - SENTIDO ESTRADA RIO-SAO PAULO - FX 1,-22.8844910007,-43.5797390006
180201111,PADRE MIGUEL,RUA UBATUBA PROXIMO AO Nº 921 - SENTIDO BANGU - FX 1,-22.8754184493,-43.4550505218
180201112,PADRE MIGUEL,RUA UBATUBA PROXIMO AO Nº 921 - SENTIDO BANGU - FX 2,-22.8754184493,-43.4550505218
180211111,URCA,AVENIDA PASTEUR PROXIMO AO Nº 350 - SENTIDO PRAIA DE BOTAFOGO - FX 1,-22.9532220008,-43.1715450006
180211112,URCA,AVENIDA PASTEUR PROXIMO AO Nº 350 - SENTIDO PRAIA DE BOTAFOGO - FX 2,-22.9532220008,-43.1715450006
180221111,JACAREPAGUA,ESTRADA DO RIO GRANDE PROXIMO AO Nº 4306 - SENTIDO PAU DA FOME - FX 1,-22.9190510008,-43.4090890006
180231121,JACAREPAGUA,ESTRADA DO RIO GRANDE PROXIMO AO Nº 4306 - SENTIDO TANQUE - FX 1,-22.9190510008,-43.4090890006
180241111,CAMPO GRANDE,ESTRADA RIO-SAO PAULO PROXIMO AO Nº 1278 - SENTIDO SENADOR VASCONCELOS - FX 1,-22.8889860007,-43.5675580006
180251121,CAMPO GRANDE,ESTRADA RIO-SAO PAULO PROXIMO AO Nº 1278 - SENTIDO SEROPEDICA - FX 1,-22.8889860007,-43.5675580006
180261111,SANTA CRUZ,RUA LUCINDO PASSOS PROXIMO AO Nº 35 - SENTIDO RUA FELIPE CARDOSO - FX 1,-22.9197750007,-43.6833210006
180261112,SANTA CRUZ,RUA LUCINDO PASSOS PROXIMO AO Nº 35 - SENTIDO RUA FELIPE CARDOSO - FX 2,-22.9197750007,-43.6833210006
180271111,RIO COMPRIDO,AVENIDA PAULO DE FRONTIN PROXIMO AO Nº 742 - SENTIDO TUNEL REBOUCAS - FX 1,-22.9306060008,-43.2088850006
