id_radar,local,bairro,cameras
1226 - 1,RUA IBIAPINA PROXIMO AO Nº 41  - SENTIDO BONSUCESSO - FX 1,OLARIA,"[""107 (R. IBIAPINA X R. URANOS) - 185.52m"", ""109 (R. IBIAPINA X R. TOMAZ RIBEIRO - BRT) - 343.52m"", ""2158 (IBIAPINA - BRT - FIXA) - 385.49m"", ""2157 (IBIAPINA - BRT - FIXA) - 415.45m"", ""2156 (IBIAPINA - BRT - FIXA) - 447.86m""]"
1226 - 2,RUA IBIAPINA PROXIMO AO Nº 41  - SENTIDO BONSUCESSO - FX 2,OLARIA,"[""107 (R. IBIAPINA X R. URANOS) - 185.52m"", ""109 (R. IBIAPINA X R. TOMAZ RIBEIRO - BRT) - 343.52m"", ""2158 (IBIAPINA - BRT - FIXA) - 385.49m"", ""2157 (IBIAPINA - BRT - FIXA) - 415.45m"", ""2156 (IBIAPINA - BRT - FIXA) - 447.86m""]"
1226 - 3,RUA IBIAPINA PROXIMO AO Nº 41  - SENTIDO BONSUCESSO - FX 3,OLARIA,"[""107 (R. IBIAPINA X R. URANOS) - 185.52m"", ""109 (R. IBIAPINA X R. TOMAZ RIBEIRO - BRT) - 343.52m"", ""2158 (IBIAPINA - BRT - FIXA) - 385.49m"", ""2157 (IBIAPINA - BRT - FIXA) - 415.45m"", ""2156 (IBIAPINA - BRT - FIXA) - 447.86m""]"
1661 - 1,RUA IBIAPINA PROXIMO AO Nº 41  - SENTIDO PENHA - FX 1,OLARIA,"[""107 (R. IBIAPINA X R. URANOS) - 166.75m"", ""109 (R. IBIAPINA X R. TOMAZ RIBEIRO - BRT) - 367.34m"", ""2158 (IBIAPINA - BRT - FIXA) - 409.49m"", ""2157 (IBIAPINA - BRT - FIXA) - 439.33m"", ""418 (R. LEOPOLDINA REGO X R. DR. ALFREDO BARCELOS) - 456.35m""]"
1661 - 2,RUA IBIAPINA PROXIMO AO Nº 41  - SENTIDO PENHA - FX 2,OLARIA,"[""107 (R. IBIAPINA X R. URANOS) - 166.75m"", ""109 (R. IBIAPINA X R. TOMAZ RIBEIRO - BRT) - 367.34m"", ""2158 (IBIAPINA - BRT - FIXA) - 409.49m"", ""2157 (IBIAPINA - BRT - FIXA) - 439.33m"", ""418 (R. LEOPOLDINA REGO X R. DR. ALFREDO BARCELOS) - 456.35m""]"
1661 - 3,RUA IBIAPINA PROXIMO AO Nº 41  - SENTIDO PENHA - FX 3,OLARIA,"[""107 (R. IBIAPINA X R. URANOS) - 166.75m"", ""109 (R. IBIAPINA X R. TOMAZ RIBEIRO - BRT) - 367.34m"", ""2158 (IBIAPINA - BRT - FIXA) - 409.49m"", ""2157 (IBIAPINA - BRT - FIXA) - 439.33m"", ""418 (R. LEOPOLDINA REGO X R. DR. ALFREDO BARCELOS) - 456.35m""]"
180011111,AVENIDA SERNAMBETIBA PROXIMO AO SEMAFORO Nº 7627 - SENTIDO PONTAL - FX 1,BARRA DA TIJUCA,"[""3702 (AV. LUCIO COSTA X AV. DO CONTORNO) - 1146.09m"", ""1289 (AVENIDA ALFREDO BALTAZAR DA SILVEIRA X RUA ODILON DUARTE BRAGA - FIXA) - 1153.77m"", ""537 (AVENIDA ALFREDO BALTAZAR DA SILVEIRA X RUA ODILON DUARTE BRAGA - FIXA) - 1155.49m"", ""1270 (AV. LUCIO COSTA X AV. DO CONTORNO (FINAL DO ECO ORLA) - FIXA) - 1167.99m"", ""1269 (AV. LUCIO COSTA X AV. DO CONTORNO (FINAL DO ECO ORLA) - FIXA) - 1187.24m""]"
180011112,AVENIDA SERNAMBETIBA PROXIMO AO SEMAFORO Nº 7627 - SENTIDO PONTAL - FX 2,BARRA DA TIJUCA,"[""3702 (AV. LUCIO COSTA X AV. DO CONTORNO) - 1146.09m"", ""1289 (AVENIDA ALFREDO BALTAZAR DA SILVEIRA X RUA ODILON DUARTE BRAGA - FIXA) - 1153.77m"", ""537 (AVENIDA ALFREDO BALTAZAR DA SILVEIRA X RUA ODILON DUARTE BRAGA - FIXA) - 1155.49m"", ""1270 (AV. LUCIO COSTA X AV. DO CONTORNO (FINAL DO ECO ORLA) - FIXA) - 1167.99m"", ""1269 (AV. LUCIO COSTA X AV. DO CONTORNO (FINAL DO ECO ORLA) - FIXA) - 1187.24m""]"
180021111,AVENIDA SERNAMBETIBA PROXIMO AO SEMAFORO Nº 7631 - SENTIDO PONTAL - FX 1,BARRA DA TIJUCA,"[""60 (AV. AYRTON SENNA X AV. L\u00daCIO COSTA) - 1056.67m"", ""2316 (BOSQUE DA BARRA - BRT - FIXA) - 1231.89m"", ""2315 (BOSQUE DA BARRA - BRT - FIXA) - 1238.42m"", ""2317 (BOSQUE DA BARRA - BRT - FIXA) - 1238.44m"", ""174 (AV. DAS AMERICAS X NOVO LEBLON) - 1349.07m""]"
180021112,AVENIDA SERNAMBETIBA PROXIMO AO SEMAFORO Nº 7631 - SENTIDO PONTAL - FX 2,BARRA DA TIJUCA,"[""60 (AV. AYRTON SENNA X AV. L\u00daCIO COSTA) - 1056.67m"", ""2316 (BOSQUE DA BARRA - BRT - FIXA) - 1231.89m"", ""2315 (BOSQUE DA BARRA - BRT - FIXA) - 1238.42m"", ""2317 (BOSQUE DA BARRA - BRT - FIXA) - 1238.44m"", ""174 (AV. DAS AMERICAS X NOVO LEBLON) - 1349.07m""]"
